CustomerId,CustomerName,CustomerOccupation,CustomerPhone,CustomerTypeId
RH-19495,Rick Hansen,Scientist,212-555-0184,1
JR-16210,Justin Ritter,Entrepreneur,212-555-0185,1
CR-12730,Craig Reiter,Manager,212-555-0186,1
KM-16375,Katherine Murray,Student,212-555-0187,1
RH-9495,Rick Hansen,Technician,212-555-0188,1
JM-15655,Jim Mitchum,Admin,212-555-0189,1
TS-21340,Toby Swindell,Data Engineer,315-444-0234,1
MB-18085,Mick Brown,Advisor,315-444-0235,1
JW-15220,Jane Waco,Student,315-444-0236,1
JH-15985,Joseph Holt,Technician,315-444-0237,1
GM-14695,Greg Maxwell,Admin,315-444-0238,1
AJ-10780,Anthony Jacobs,Data Engineer,315-444-0239,1
MM-7260,Magdelene Morse,Advisor,315-444-0240,1
VF-21715,Vicky Freymann,Student,315-444-0241,1
PF-19120,Peter Fuller,Technician,315-444-0242,1
BP-11185,Ben Peterman,Admin,315-444-0243,2
TB-21175,Thomas Boland,Data Engineer,315-444-0244,1
PJ-18835,Patrick Jones,Advisor,315-444-0245,1
JS-15685,Jim Sink,Student,315-444-0246,1
RH-9555,Ritsa Hightower,Technician,315-444-0247,1
AB-600,Ann Blume,Admin,315-444-0248,1
SA-20830,Sue Ann Reed,Data Engineer,315-444-0249,1
JK-15325,Jason Klamczynski,Advisor,315-444-0250,2
LB-16795,Laurel Beltran,Student,315-444-0251,1
NP-18325,Naresj Patel,Technician,315-444-0252,2
VD-21670,Valerie Dominguez,Admin,315-444-0253,1
PB-19210,Phillip Breyer,Data Engineer,315-444-0254,1
EB-14110,Eugene Barchas,Advisor,315-444-0255,1
KF-16285,Karen Ferguson,Student,212-555-0190,1
BP-11230,Benjamin Patterson,Technician,212-555-0191,1
RR-19525,Rick Reed,Admin,212-555-0192,1
BS-11365,Bill Shonely,Data Engineer,212-555-0193,1
JE-15745,Joel Eaton,Advisor,212-555-0194,1
DP-13105,Dave Poirier,Student,212-555-0195,1
NP-18700,Nora Preis,Technician,212-555-0196,1
AH-30,Aaron Hawkins,Admin,212-555-0197,1
DM-13015,Darrin Martin,Data Engineer,212-555-0198,1
GT-14635,Grant Thornton,Advisor,212-555-0199,1
PO-18865,Patrick O'Donnell,Student,212-555-0200,1
DL-12865,Dan Lawera,Technician,212-555-0201,2
JB-16000,Joy Bell-,Admin,212-555-0202,1
BF-11005,Barry Franz,Data Engineer,212-555-0203,1
VG-21805,Vivek Grady,Advisor,212-555-0204,1
GT-14710,Greg Tran,Student,212-555-0205,1
ZC-21910,Zuschuss Carroll,Technician,212-555-0206,3
SC-20095,Sanjit Chand,Admin,212-555-0207,2
EB-13840,Ellis Ballard,Data Engineer,212-555-0208,1
AP-10915,Arthur Prichep,Advisor,212-555-0209,3
SW-20275,Scott Williamson,Student,212-555-0210,2
JH-15820,John Huston,Technician,212-555-0211,2
LC-16885,Lena Creighton,Admin,212-555-0212,1
TG-11640,Trudy Glocke,Data Engineer,212-555-0213,1
HR-14830,Harold Ryan,Advisor,212-555-0214,1
DG-3300,Deirdre Greer,Student,212-555-0215,1
SG-20470,Sheri Gordon,Technician,212-555-0216,1
FH-14365,Fred Hopkins,Admin,212-555-0217,1
GP-14740,Guy Phonely,Data Engineer,212-555-0218,1
MW-18220,Mitch Webber,Advisor,212-555-0219,1
PO-18850,Patrick O'Brill,Student,212-555-0220,1
CS-12460,Chuck Sachs,Technician,212-555-0221,1
KD-16495,Keith Dawkins,Admin,212-555-0222,2
MS-17980,Michael Stewart,Data Engineer,212-555-0223,1
KC-16675,Kimberly Carter,Advisor,212-555-0224,1
DB-13405,Denny Blanton,Student,212-555-0225,1
JD-15895,Jonathan Doherty,Technician,212-555-0226,1
DK-13090,Dave Kipp,Admin,212-555-0227,1
CS-11845,Cari Sayre,Data Engineer,212-555-0228,1
EM-14200,Evan Minnotte,Advisor,212-555-0229,1
DW-3480,Dianna Wilson,Student,212-555-0230,1
AS-10225,Alan Schoenberger,Technician,212-555-0231,1
ST-20530,Shui Tom,Admin,212-555-0232,1
BW-1065,Barry Weirich,Data Engineer,212-555-0233,1
LA-16780,Laura Armstrong,Advisor,212-555-0234,1
AB-10150,Aimee Bixby,Student,212-555-0235,1
CM-12385,Christopher Martinez,Technician,212-555-0236,1
BE-11410,Bobby Elias,Admin,212-555-0237,1
SZ-20035,Sam Zeldin,Data Engineer,212-555-0238,1
RM-19375,Raymond Messe,Advisor,212-555-0239,2
HG-14845,Harry Greene,Student,212-555-0240,2
DP-3105,Dave Poirier,Technician,212-555-0241,2
AR-10540,Andy Reiter,Admin,212-555-0242,1
TP-21415,Tom Prescott,Data Engineer,212-555-0243,2
AM-10705,Anne McFarland,Advisor,212-555-0244,2
AB-255,Alejandro Ballentine,Student,212-555-0245,1
RP-19270,Rachel Payne,Technician,212-555-0246,1
BK-11260,Berenike Kampe,Admin,212-555-0247,1
JM-15250,Janet Martin,Data Engineer,212-555-0248,1
LW-16990,Lindsay Williams,Advisor,212-555-0249,1
NZ-18565,Nick Zandusky,Student,212-555-0250,1
SV-10815,Stuart Van,Technician,212-555-0251,1
SC-20695,Steve Chapman,Admin,212-555-0252,1
NC-18625,Noah Childs,Data Engineer,212-555-0253,1
NF-18385,Natalie Fritzler,Advisor,212-555-0254,1
PM-18940,Paul MacIntyre,Student,212-555-0255,1
MZ-17335,Maria Zettner,Technician,212-555-0256,1
HM-4980,Henry MacAllister,Admin,212-555-0257,1
RW-19540,Rick Wilson,Data Engineer,212-555-0258,1
LH-17155,Logan Haushalter,Advisor,212-555-0259,1
KM-16660,Khloe Miller,Student,212-555-0260,1
AB-10060,Adam Bellavance,Technician,212-555-0261,1
DB-13060,Dave Brooks,Admin,212-555-0262,1
VM-21685,Valerie Mitchum,Data Engineer,212-555-0263,1
DM-13525,Don Miller,Advisor,212-555-0264,1
NM-18520,Neoma Murray,Student,212-555-0265,1
RO-19780,Rose O'Brian,Technician,212-555-0266,1
SB-20185,Sarah Brown,Admin,212-555-0267,1
EM-14065,Erin Mull,Data Engineer,212-555-0268,1
RS-19765,Roland Schwarz,Advisor,212-555-0269,1
ON-18715,Odella Nelson,Student,212-555-0270,1
VS-21820,Vivek Sundaresam,Technician,212-555-0271,1
CM-12115,Chad McGuire,Admin,212-555-0272,1
TB-21400,Tom Boeckenhauer,Data Engineer,212-555-0273,1
AB-10105,Adrian Barton,Advisor,212-555-0274,1
DW-13540,Don Weiss,Student,212-555-0275,2
PS-19045,Penelope Sewall,Technician,212-555-0276,2
CC-12370,Christopher Conant,Admin,212-555-0277,1
TC-21295,Toby Carlisle,Data Engineer,212-555-0278,1
GM-14440,Gary McGarr,Advisor,212-555-0279,2
SV-20815,Stuart Van,Student,212-555-0280,1
MM-17920,Michael Moore,Technician,212-555-0281,1
JK-16120,Julie Kriz,Admin,212-555-0282,1
DJ-13510,Don Jones,Data Engineer,212-555-0283,1
AT-10435,Alyssa Tate,Advisor,212-555-0284,1
AB-10015,Aaron Bergman,Student,212-555-0285,1
RP-19390,Resi Pölking,Technician,212-555-0286,3
MJ-17740,Max Jones,Admin,212-555-0287,1
PV-18985,Paul Van Hugh,Data Engineer,212-555-0288,3
SB-20290,Sean Braxton,Advisor,212-555-0289,3
SM-10005,Sally Matthias,Student,212-555-0290,1
KH-16330,Katharine Harms,Technician,212-555-0291,1
MP-18175,Mike Pelletier,Admin,212-555-0292,1
