CustomerId	CustomerHomeAddress	CustomerCity	CustomerState	CustomerCountry	CustomerZipCode
RH-19495	777 Brockton Avenue	Chicago	Illinois	United States	20851
JR-16210	30 Memorial Drive	Suzhou	Anhui	China	20852
CR-12730	250 Hartford Avenue	Edinburgh	Scotland	United Kingdom	20853
KM-16375	700 Oak Street	Juárez	Chihuahua	Mexico	20854
RH-9495	66-4 Parkhurst Rd	Soyapango	San Salvador	El Salvador	20855
JM-15655	591 Memorial Dr	Taipei	Taipei City	Taiwan	20856
TS-21340	55 Brooksby Village Way	Leipzig	Saxony	Germany	20857
MB-18085	137 Teaticket Hwy	Hamilton	Waikato	New Zealand	30845
JW-15220	42 Fairhaven Commons Way	Sacramento	California	United States	20859
JH-15985	374 William S Canning Blvd	Concord	North Carolina	United States	20860
GM-14695	121 Worcester Rd	Alexandria	Virginia	United States	20861
AJ-10780	677 Timpany Blvd	Kabul	Kabul	Afghanistan	20862
MM-7260	337 Russell St	Jizan	Jizan	Saudi Arabia	20863
VF-21715	295 Plymouth Street	Toledo	Parana	Brazil	30238
PF-19120	1775 Washington St	Mudanjiang	Heilongjiang	China	30240
BP-11185	280 Washington Street	Paris	Ile-de-France	France	30242
TB-21175	20 Soojian Dr	Henderson	Kentucky	United States	30244
PJ-18835	11 Jungle Road	Prato	Tuscany	Italy	30246
JS-15685	301 Massachusetts Ave	Townsville	Queensland	Australia	30248
RH-9555	780 Lynnway	Uvinza	Kigoma	Tanzania	30250
AB-600	70 Pleasant Valley Street	Bytom	Silesia	Poland	30252
SA-20830	830 Curran Memorial Hwy	Chicago	Illinois	United States	30254
JK-15325	1470 S Washington St	Suzhou	Anhui	China	30256
LB-16795	506 State Road	Edinburgh	Scotland	United Kingdom	30258
NP-18325	742 Main Street	Juárez	Chihuahua	Mexico	30260
VD-21670	72 Main St	Soyapango	San Salvador	El Salvador	30262
PB-19210	200 Otis Street	Taipei	Taipei City	Taiwan	30264
EB-14110	180 North King Street	Leipzig	Saxony	Germany	30266
KF-16285	555 East Main St	Los Angeles	California	United States	30268
BP-11230	555 Hubbard Ave-Suite 12	Surat	Gujarat	India	30270
RR-19525	300 Colony Place	Santo Domingo	Santo Domingo	Dominican Republic	30272
BS-11365	301 Falls Blvd	Saint-Brieuc	Brittany	France	30274
JE-15745	36 Paramount Drive	Amarillo	Texas	United States	30276
DP-13105	450 Highland Ave	Gold Coast	Queensland	Australia	30278
NP-18700	1180 Fall River Avenue	Fresno	California	United States	30280
AH-30	1105 Boston Road	Kamina	Katanga	Democratic Republic of the Congo	30282
DM-13015	100 Charlton Road	New York City	New York	United States	30284
GT-14635	262 Swansea Mall Dr	Burlington	North Carolina	United States	30286
PO-18865	333 Main Street	Stockton-on-Tees	England	United Kingdom	30288
DL-12865	550 Providence Hwy	Brisbane	Queensland	Australia	30290
JB-16000	352 Palmer Road	Mataram	Nusa Tenggara Barat	Indonesia	30292
BF-11005	3005 Cranberry Hwy Rt 6 28	Gorakhpur	Haryana	India	30294
VG-21805	250 Rt 59	Thiruvananthapuram	Kerala	India	30296
GT-14710	141 Washington Ave Extension	Huddersfield	England	United Kingdom	30298
ZC-21910	13858 Rt 31 W	Berlin	Berlin	Germany	30300
SC-20095	2055 Niagara Falls Blvd	Minneapolis	Minnesota	United States	30302
EB-13840	101 Sanford Farm Shpg Center	Montreuil	Ile-de-France	France	30304
AP-10915	297 Grant Avenue	Shouguang	Shandong	China	30306
SW-20275	4133 Veterans Memorial Drive	Jamshedpur	Jharkhand	India	30308
JH-15820	6265 Brockport Spencerport Rd	Paysandú	Paysandú	Uruguay	30310
LC-16885	5399 W Genesse St	New York City	New York	United States	30312
TG-11640	3191 County rd 10	Behshahr	Mazandaran	Iran	30314
HR-14830	30 Catskill	Huntington Beach	California	United States	30316
DG-3300	161 Centereach Mall	Taipei	Taipei City	Taiwan	30318
SG-20470	3018 East Ave	Maputo	Cidade De Maputo	Mozambique	30320
FH-14365	100 Thruway Plaza	Bhopal	Madhya Pradesh	India	30322
